County,Fire Name
KERN,63
RIVERSIDE,59
TULARE,55
SHASTA,55
LOS ANGELES,51
SAN DIEGO,49
MENDOCINO,44
SISKIYOU,39
BUTTE,37
MONTEREY,36
FRESNO,33
MARIPOSA,31
SAN BERNARDINO,31
SAN LUIS OBISPO,31
MADERA,29
LASSEN,29
MODOC,27
TUOLUMNE,26
TRINITY,25
TEHAMA,23
MERCED,20
SANTA BARBARA,20
MONO,19
LAKE,18
INYO,16
PLUMAS,16
HUMBOLDT,16
PLACER,16
VENTURA,15
NAPA,12
SONOMA,11
YUBA,11
EL DORADO,10
NEVADA,9
CALAVERAS,9
YOLO,9
COLUSA,9
ORANGE,8
SAN BENITO,8
SACRAMENTO,7
SANTA CLARA,7
SAN JOAQUIN,6
STANISLAUS,6
ALAMEDA,6
SOLANO,4
SAN MATEO,4
GLENN,4
CONTRA COSTA,4
SANTA CRUZ,3
ALPINE,3
MARIN,3
KINGS,3
DEL NORTE,3
AMADOR,3
SUTTER,2
WASHOE (NV),2
SIERRA,1
JACKSON (OR),1
