County,Abbreviation
Alameda,ALA
Alpine,ALP
Amador,AMA
Butte,BUT
Calaveras,CAL
Colusa,COL
Contra Costa,CCO
Del Norte,DN
El Dorado,ED
Fresno,FRE
Glenn,GLE
Humboldt,HUM
Imperial,IMP
Inyo,INY
Kern,KER
Kings,KIN
Lake,LAK
Lassen,LAS
Los Angeles,LA
Madera,MAD
Marin,MRN
Mariposa,MPA
Mendocino,MEN
Merced,MER
Modoc,MOD
Mono,MNO
Monterey,MON
Napa,NAP
Nevada,NEV
Orange,ORA
Placer,PLA
Plumas,PLU
Riverside,RIV
Sacramento,SAC
San Benito,SBT
San Bernardino,SBD
San Diego,SD
San Francisco,SF
San Joaquin,SJ
San Luis Obispo,SLO
San Mateo,SM
Santa Barbara,SB
Santa Clara,SCL
Santa Cruz,SCZ
Shasta,SHA
Sierra,SIE
Siskiyou,SIS
Solano,SOL
Sonoma,SON
Stanislaus,STA
Sutter,SUT
Tehama,TEH
Trinity,TRI
Tulare,TUL
Tuolumne,TUO
Ventura,VEN
Yolo,YOL
Yuba,YUB
