County,Abbreviation,county_up
Alameda,ALA,ALAMEDA
Alpine,ALP,ALPINE
Amador,AMA,AMADOR
Butte,BUT,BUTTE
Calaveras,CAL,CALAVERAS
Colusa,COL,COLUSA
Contra Costa,CCO,CONTRA COSTA
Del Norte,DN,DEL NORTE
El Dorado,ED,EL DORADO
Fresno,FRE,FRESNO
Glenn,GLE,GLENN
Humboldt,HUM,HUMBOLDT
Imperial,IMP,IMPERIAL
Inyo,INY,INYO
Kern,KER,KERN
Kings,KIN,KINGS
Lake,LAK,LAKE
Lassen,LAS,LASSEN
Los Angeles,LA,LOS ANGELES
Madera,MAD,MADERA
Marin,MRN,MARIN
Mariposa,MPA,MARIPOSA
Mendocino,MEN,MENDOCINO
Merced,MER,MERCED
Modoc,MOD,MODOC
Mono,MNO,MONO
Monterey,MON,MONTEREY
Napa,NAP,NAPA
Nevada,NEV,NEVADA
Orange,ORA,ORANGE
Placer,PLA,PLACER
Plumas,PLU,PLUMAS
Riverside,RIV,RIVERSIDE
Sacramento,SAC,SACRAMENTO
San Benito,SBT,SAN BENITO
San Bernardino,SBD,SAN BERNARDINO
San Diego,SD,SAN DIEGO
San Francisco,SF,SAN FRANCISCO
San Joaquin,SJ,SAN JOAQUIN
San Luis Obispo,SLO,SAN LUIS OBISPO
San Mateo,SM,SAN MATEO
Santa Barbara,SB,SANTA BARBARA
Santa Clara,SCL,SANTA CLARA
Santa Cruz,SCZ,SANTA CRUZ
Shasta,SHA,SHASTA
Sierra,SIE,SIERRA
Siskiyou,SIS,SISKIYOU
Solano,SOL,SOLANO
Sonoma,SON,SONOMA
Stanislaus,STA,STANISLAUS
Sutter,SUT,SUTTER
Tehama,TEH,TEHAMA
Trinity,TRI,TRINITY
Tulare,TUL,TULARE
Tuolumne,TUO,TUOLUMNE
Ventura,VEN,VENTURA
Yolo,YOL,YOLO
Yuba,YUB,YUBA
